record_id,name,name_contact_person_db,email_contact_person_db,link_contact_form,country,datatype,ongoing,link,type_ehr,type_insurance_claims,type_dz_cohort,type_national_registry,type_other,pub_title_1,pub_title_2,pub_title_3,pub_title_4,pub_title_5,pub_title_6,pub_title_7,pub_title_8,pub_title_9,pub_title_10,pub_title_11,pub_title_12,pub_title_13,pub_title_14,pub_title_15,pub_title_16,pub_title_17,pub_title_18,pub_title_19,author_contact_1,author_contact_2,author_contact_3,author_contact_4,author_contact_5,author_contact_6,author_contact_7,author_contact_8,author_contact_9,author_contact_10,author_contact_11,author_contact_12,author_contact_13,author_contact_14,author_contact_15,author_contact_16,author_contact_17,author_contact_18,author_contact_19,data_dictionary,data_dictionary_link
1,"4 Hospitals in Hubei Province, China",NA,NA,NA,Other: China,Hospital data (electronic health record),3,NA,1,0,0,0,NA,"Effectiveness of Systemic Corticosteroids Therapy for Nonsevere Patients With COVID-19: A Multicenter, Retrospective, Longitudinal Cohort Study.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yanhong Gong, PhD, Department of Social Medicine and
Health Management, Tongji Medical College, Huazhong University of Sci-
ence and Technology, Wuhan 430030, P. R. China. Email: gongyanhong@
hust.edu.cn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA
2,AP-HP Datawarehouse,NA,NA,https://eds.aphp.fr/contact/feedback,France,Hospital data (electronic health record),1,https://eds.aphp.fr/nos-services/recherche-innovation,1,0,0,0,NA,Association between antidepressant use and reduced risk of intubation or death in hospitalized patients with COVID-19: results from an observational study.,Observational study of haloperidol in hospitalized patients with COVID-19.,Association between benzodiazepine receptor agonist use and mortality in patients hospitalised for COVID-19: a multicentre observational study.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nicolas Hoertel, nico.hoertel@yahoo.fr","Marina Sanchez-Rico
De´partement de Psychiatrie, Hoˆpital Corentin-Celton, Centre Universite´ de Paris, AP-HP, Issy-les-
Moulineaux, France
marinals@ucm.es","N. Hoertel,
E-mail: nico.hoertel@yahoo.fr;
nicolas.hoertel@aphp.fr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA
3,Agency for Health Protection (AHP) of Milan,NA,NA,NA,Other: Italy,"National registries (e.g. death registry, cancer registry, etc.)",3,NA,0,0,0,1,NA,"Metabolic syndrome and risk of COVID-19-related hospitalization: a large, population-based cohort study carried out during the first European outbreak of SARS-CoV-2 infection in the Metropolitan area of Milan (Lombardy Region, Northern Italy).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Antonio Giampiero Russo; agrusso@ats-milano.it,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA
4,Amsterdam UMC,NA,rdm@amsterdamumc.nl,NA,Other: Netherlands,Hospital data (electronic health record),1,[Reuse of health care data for scientific research (amsterdamumc.org)](https://www.amsterdamumc.org/en/research/support/services-facilities/data-management/reuse-of-health-care-data-for-scientific-research.htm),1,0,0,0,NA,Increasing serum iron levels and their role in the risk of infectious diseases: a Mendelian randomization approach.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corresponding author. Lady Davis Institute for Medical Research, Jewish General Hospital, Pavilion H-413, 3755 Coˆte-
Ste-Catherine, Montre´ al, QC H3T 1E2, Canada. E-mail: brent.richards@mcgill.ca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA
5,Bellvitge University Hospital Data Warehouse,"Sebastià Videla
PI of https://catalogues.ema.europa.eu/node/3004/administrative-details",svidela@bellvitgehospital.cat,NA,Spain,Hospital data (electronic health record),3,NA,1,0,0,0,NA,Effect of positive microbiological testing on antibiotic de-escalation and outcomes in community-acquired pneumonia: a propensity score analysis.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gudiol, Hospital Universitari de Bellvitge, Department of Infectious Diseases, Hospital de Bellvitge, c/ Feixa Llarga s/n 08097, L'Hospitalet d’Llobregat, Barcelona, Spain.
cgudiol@bellvitgehospital.cat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA
6,Brazilian COVID-19 Registry.,NA,NA,NA,NA,NA,3,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA
7,CORIST Collaboration,"PI: Augusto Di Castelnuovo, MSc, PhD
IRCCS Neuromed",dicastel@ngi.it,NA,Other: Italy,Hospital data (electronic health record),3,https://www.ahajournals.org/doi/10.1161/HYPERTENSIONAHA.120.15370,1,0,0,0,NA,Use of hydroxychloroquine in hospitalised COVID-19 patients is associated with reduced mortality: Findings from the observational multicentre Italian CORIST study.,Heparin in COVID-19 Patients Is Associated with Reduced In-Hospital Mortality: The Multicenter Italian CORIST Study.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Licia Iacoviello, Department of Epidemiology and Prevention, IRCCS Neuromed, Via dell’Elettronica, 86077 Pozzilli (IS), Italy. licia.iacoviello@moli-sani.org ","Licia Iacoviello, MD, PhD, Department of Epidemiology and Prevention, IRCCS Neuromed, Via dell’Elettronica, 86077 Pozzilli, Isernia, Italy (e-mail: licia.iacoviello@moli-sani.org)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA
8,CORONADO Study,NA,NA,NA,France,Hospital data (electronic health record),3,https://clinicaltrials.gov/study/NCT04324736?tab=table,1,0,0,0,NA,Routine use of statins and increased COVID-19 related mortality in inpatients with type 2 diabetes: Results from the CORONADO study.,Use of dipeptidyl peptidase-4 inhibitors and prognosis of COVID-19 in hospitalized patients with type 2 diabetes: A propensity score analysis from the CORONADO study.,Metformin use is associated with a reduced risk of mortality in patients with diabetes hospitalised for COVID-19.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bertrand Cariou, bertrand.cariou@univ-nantes.fr","bertrand.cariou@univ-nantes.fr
Bertrand Cariou, Department of Endocrinology, Diabetology and Nutrition, l'institut du thorax, CHU Nantes, Hôpital Guillaume et René Laennec, 44093 Nantes Cedex 01, France","Lalau.Jean-Daniel@chu-amiens.fr (J.-D. Lalau), Al-Salameh.Abdallah@chu-amiens.fr (A. Al-Salameh)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA
9,COVID19@Spain cohort,"Principal Investigator: ""Jesús Rodríguez-Bano, Servicio de Enfermedades Infecciosas, Hospital Universitario Virgen Macarena, Avda Dr Fedriani 3, 41009 Seville. Spain. 
E-mail address: jesusrb@us.es (J. Rodríguez-Bano) """,jesusrb@us.es,NA,Spain,Hospital data (electronic health record),2,https://classic.clinicaltrials.gov/ct2/show/NCT04355871,1,0,0,0,NA,Treatment with tocilizumab or corticosteroids for COVID-19 patients with hyperinflammatory state: a multicentre cohort study (SAM-COVID-19).,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jesús Rodríguez-Bano, Servicio de Enfermedades Infecciosas, Hospital Universitario Virgen Macarena, Avda Dr Fedriani 3, 41009 Seville. Spain. 
E-mail address: jesusrb@us.es (J. Rodríguez-Bano) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA
10,COVIREGI-JP,NA,NA,https://forms.office.com/Pages/ResponsePage.aspx?id=rfmKb0dWY02rIduJRTcy9zWARyAAK_9PtHty_O8zSjRUQkQzWlZWSDdPWUY5UFVKWDA3QkZDNklMNi4u,Japan,Hospital data (electronic health record); Disease specific network (cohort study),1,"https://rebind.ncgm.go.jp/coviregi/
https://academic.oup.com/cid/article/73/11/e3677/5912544",1,0,1,0,NA,Evaluation of the efficacy of anticoagulation therapy in reducing mortality in a nationwide cohort of hospitalized patients with coronavirus disease in Japan.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Department of Cardiology, National Centre for Global Health and Medicine, 1-12-1 Toyama Shinjuku-ku, Tokyo 162-8655, Japan. Tel.: +81 3 3202 7181; fax: +81 3 3202 7364. E-mail address: hhara@hosp.ncgm.go.jp (H. Hara)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA
