Covidence #,Study ID,Title,Reviewer Name,Study ID,Title,Date of publication,Lead author contact details,Link to publication,Notes,How many different databases does the study use?,Database 1: Which country/countries are the clinical data from? ,"Database 1: If the routinely collected data / cohort are explicitly named, please provide the name(s). ","Database 1: If available, link the database / cohort.",Database 1: What kind of data does the database contain (multiple choice): ,Database 1: Are the data publicly available?,Database 1: Is the data collection still ongoing?,Database 2: Which country/countries are the clinical data from? ,"Database 2: If the routinely collected data / cohort are explicitly named, please provide the name(s). ","Database 2: If available, link the database / cohort.",Database 2: What kind of data does the database contain (multiple choice): ,Database 2: Are the data publicly available?,Database 2: Is the data collection still ongoing?,Database 3: Which country/countries are the clinical data from? ,"Database 3: If the routinely collected data / cohort are explicitly named, please provide the name(s). ","Database 3: If available, link the database / cohort.",Database 3: What kind of data does the database contain (multiple choice): ,Database 3: Are the data publicly available?,Database 3: Is the data collection still ongoing?,Database 4: Which country/countries are the clinical data from? ,"Database 4: If the routinely collected data / cohort are explicitly named, please provide the name(s). ","Database 4: If available, link the database / cohort.",Database 4: What kind of data does the database contain (multiple choice): ,Database 4: Are the data publicly available?,Database 4: Is the data collection still ongoing?
1108,Sibila 2012,Prior cardiovascular disease is associated with increased short and long-term mortality in COPD patients with community-acquired pneumonia,Consensus,#1108 – Sibila 2012,Prior Cardiovascular Disease Is Associated With Increased Short And Long-Term Mortality In COPD Patients With Community-Acquired Pneumonia,18.04.2013,"Marcos I. Restrepo, VERDICT (11C6), South Texas Veterans Health Care System ALMD, 7400 Merton Minter Boulevard, San Antonio, TX, 78229, USA. E-mail: restrepom@uthscsa.edu",https://erj.ersjournals.com/content/43/1/36.long,"17,140 elderly patients over 65y with 1 year outpatient treatment (assumedly for COPD) prior to admission for pneumonia",1,USA,"Department of Veterans Health
Administration (VHA) healthcare system","","","","","","","","","","","","","","","","","","","","","",""
1097,Rothberg 2015,Dualtherapy for pseudomonas and outcomes in healthcare associated pneumonia,Consensus,#1097 – Rothberg 2015,Dual therapy for pseudomonas and outcomes in healthcare associated pneumonia,14.04.2015,"Department of Medicine, Medicine Institute, Cleveland Clinic, 9500 Euclid Avenue, Cleveland, OH 44195, USA. Tel: +1-216-445-6600; E-mail: rothbem@ccf.org",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4405523/,"",1,"",Premier Healthcare Database,"","","","","","","","","","","","","","","","","","","","","",""
1096,Rothberg 2015,Oral versus intravenous fluoroquinolones for the initial treatment of community acquired pneumonia in hospitalized patients,Consensus,#1096 – Rothberg 2015,Association Between Initial Route of Fluoroquinolone Administration and Outcomes in Patients Hospitalized for Community-acquired Pneumonia,05.04.2016,"R. K. Belforti, Baystate Medical Center, 759 Chestnut St, Springfield, MA 01199 (raquel.belforti@bhs.org)",https://academic.oup.com/cid/article/63/1/1/1745398,"",1,"",Premier Healthcare Database,"","",Other: ,Other: ,"","","","","","","","","","","","","","","","","",""
1046,Lodise 2019,Antimicrobial resistance or delayed appropriate therapy - Does one influence outcomes more than the other among patients with serious infections due to carbapenem-resistant versus carbapenem-susceptible enterobacteriaceae?,Consensus,#1046 – Lodise 2019,"Antimicrobial Resistance or Delayed Appropriate Therapy—Does One Influence Outcomes More Than the Other Among Patients With Serious Infections Due to Carbapenem-Resistant Versus Carbapenem-Susceptible 
Enterobacteriaceae?",23.04.2019,"Thomas P. Lodise, PharmD, PhD, Albany College of Pharmacy and Health Sciences, 106 New Scotland Ave., Albany, NY 12208 (thomas.lodise@acphs.edu)",https://academic.oup.com/ofid/article/6/6/ofz194/5477302?login=false,"",1,"",Premier Healthcare Database,"","",Other: ,Other: ,"","","","","","","","","","","","","","","","","",""
1042,Wu 2019,Mortality risk prediction in lupus patients complicated with invasive infection in the emergency department: LUPHAS score,Consensus,#1042 – Wu 2019,Mortality risk prediction in lupus patients complicated with invasive infection in the emergency department: LUPHAS score,05.11.2019,"Yi Chen, Department of Emergency Medicine, South Campus, Ren Ji Hospital, School of Medicine, Shanghai Jiao Tong University, No. 2000, 
Jiangyue Road, Minhang District, Shanghai 201112, China chenyirenji@126.com",https://pubmed.ncbi.nlm.nih.gov/31723357/,"",1,Other: China,Emergency-Rheum,NI,Hospital data (electronic health record),No,NI,"","","","","","","","","","","","","","","","","",""
1038,Bonine 2019,Impact of Delayed Appropriate Antibiotic Therapy on Patient Outcomes by Antibiotic Resistance Status From Serious Gram-negative Bacterial Infections,Consensus,#1038 – Bonine 2019,Impact of Delayed Appropriate Antibiotic Therapy on Patient Outcomes by Antibiotic Resistance Status From Serious Gram-negative Bacterial Infections,22.11.2018,"Nicole G. Bonine, PhD, MPH, Global Health Outcomes Strategy & Research, Allergan plc, 2525 Dupont Drive (T2-2P), Irvine, CA 92612-1599. (E-mail: nicole.bonine@allergan.com).",https://pubmed.ncbi.nlm.nih.gov/30665490/,"",1,USA,Premier Healthcare Database,"","",Other: ,Other: ,"","","","","","","","","","","","","","","","","",""
984,Cao 2021,High-Dose Intravenous Immunoglobulin in Severe Coronavirus Disease 2019: A Multicenter Retrospective Study in China,Consensus,#984 – Cao 2021,High-Dose Intravenous Immunoglobulin in Severe Coronavirus Disease 2019: A Multicenter Retrospective Study in China,19.02.2021,"Taisheng Li
litsh@263.net",https://pubmed.ncbi.nlm.nih.gov/33679771/,Corrigendum: https://pubmed.ncbi.nlm.nih.gov/33831136/,1,Other: China,Two University Hospitals in Wuhan Region,NI,Hospital data (electronic health record),No,NI,"","","","",Other: ,Other: ,"","","","","","","","","","","",""
971,Okuno 2021,Impact of corticosteroid administration within 7 days of the hospitalization for influenza pneumonia with respiratory failure: A propensity score analysis using a nationwide administrative database,Consensus,#971 – Okuno 2021,Impact of corticosteroid administration within 7 days of the hospitalization for influenza pneumonia with respiratory failure: A propensity score analysis using a nationwide administrative database,31.01.2021,"Takashi Kido
ido@nagasaki-u.ac.jp; Tel.: +81-95-819-7273",https://pubmed.ncbi.nlm.nih.gov/33572558/,"",1,Japan,Diagnosis Procedure Combination database,"","",Other: ,Other: ,"","","","","","","","","","","","","","","","","",""
969,Ferdinands 2021,"Vaccine Effectiveness against Influenza-Associated Hospitalizations among Adults, 2018-2019, US Hospitalized Adult Influenza Vaccine Effectiveness Network",Consensus,#969 – Ferdinands 2021,"Vaccine Effectiveness against Influenza-Associated Hospitalizations among Adults, 2018-2019, US Hospitalized Adult Influenza Vaccine Effectiveness Network",18.12.2020," Jill M. Ferdinands, PhD, Centers for Disease Control and Prevention, 1600 
Clifton Rd NE, MS A-32, Atlanta, GA 30333, USA (jferdinands@cdc.gov).",https://doi.org/10.1093/infdis/jiaa772,"This looks like the successor:
https://www.cdc.gov/flu/vaccines-work/ivy.htm",1,USA,Hospitalized Adult Influenza Vaccine Effectiveness Network (HAIVEN),https://www.cdc.gov/flu/vaccines-work/haiven.html,Hospital data (electronic health record),No,No,"","","","","","","","","","","","","","","","","",""
962,Patchen 2021,Genetically predicted serum vitamin D and COVID-19: A Mendelian randomisation study,Consensus,#962 – Patchen 2021,Genetically predicted serum vitamin D and COVID-19: A Mendelian randomisation study,04.05.2021,"Dr Patricia A Cassano, Division 
of Nutritional Sciences, Cornell 
University, Ithaca, NY 14853, 
USA; pac6@cornell.edu",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8098235/,"",1,"",Covid HGI,"","",Other: ,Other: ,"","","","",Other: ,Other: ,"","","","","","","","","","","",""
